ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
a0:memmgr, tlb_hits, , Accumulator, 12880920000, 0, 57642, 57642, 57642, 1, 1
a0:memmgr, tlb_evicts, , Accumulator, 12880920000, 0, 454108, 454108, 454108, 1, 1
a0:memmgr, tlb_translate_queries, , Accumulator, 12880920000, 0, 516051, 516051, 516051, 1, 1
a0:memmgr, tlb_shootdown, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0:memmgr, tlb_page_allocs, , Accumulator, 12880920000, 0, 205, 205, 205, 1, 1
a0, read_requests, 0, Accumulator, 12880920000, 0, 237776, 237776, 237776, 1, 1
a0, write_requests, 0, Accumulator, 12880920000, 0, 277655, 277655, 277655, 1, 1
a0, read_request_sizes, 0, Accumulator, 12880920000, 0, 898630, 6435272, 237776, 1, 64
a0, write_request_sizes, 0, Accumulator, 12880920000, 0, 678155, 4374269, 277655, 1, 64
a0, split_read_requests, 0, Accumulator, 12880920000, 0, 93, 93, 93, 1, 1
a0, split_write_requests, 0, Accumulator, 12880920000, 0, 322, 322, 322, 1, 1
a0, flush_requests, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, fence_requests, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, no_ops, 0, Accumulator, 12880920000, 0, 391012, 391012, 391012, 1, 1
a0, instruction_count, 0, Accumulator, 12880920000, 0, 906443, 906443, 906443, 1, 1
a0, cycles, 0, Accumulator, 12880920000, 0, 12880920, 12880920, 12880920, 1, 1
a0, active_cycles, 0, Accumulator, 12880920000, 0, 666605, 666605, 666605, 1, 1
a0, fp_sp_ins, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, fp_dp_ins, 0, Accumulator, 12880920000, 0, 5, 5, 5, 1, 1
a0, fp_sp_simd_ins, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, fp_dp_simd_ins, 0, Accumulator, 12880920000, 0, 1, 1, 1, 1, 1
a0, fp_sp_scalar_ins, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, fp_dp_scalar_ins, 0, Accumulator, 12880920000, 0, 4, 4, 4, 1, 1
a0, fp_sp_ops, 0, Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
a0, fp_dp_ops, 0, Accumulator, 12880920000, 0, 6, 8, 5, 1, 2
l1cache, prefetch_opportunities, , Accumulator, 12880920000, 0, 128961, 128961, 128961, 1, 1
l1cache, prefetches_issued, , Accumulator, 12880920000, 0, 24668, 24668, 24668, 1, 1
l1cache, prefetches_canceled_by_page_boundary, , Accumulator, 12880920000, 0, 1660, 1660, 1660, 1, 1
l1cache, prefetches_canceled_by_history, , Accumulator, 12880920000, 0, 104293, 104293, 104293, 1, 1
l1cache, Prefetch_requests, , Accumulator, 12880920000, 0, 24668, 24668, 24668, 1, 1
l1cache, Prefetch_drops, , Accumulator, 12880920000, 0, 354, 354, 354, 1, 1
l1cache, default_stat, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_I, , Accumulator, 12880920000, 0, 40586, 40586, 40586, 1, 1
l1cache, stateEvent_GetS_S, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_M, , Accumulator, 12880920000, 0, 42169, 42169, 42169, 1, 1
l1cache, stateEvent_GetX_I, , Accumulator, 12880920000, 0, 5563, 5563, 5563, 1, 1
l1cache, stateEvent_GetX_S, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetX_M, , Accumulator, 12880920000, 0, 265156, 265156, 265156, 1, 1
l1cache, stateEvent_GetSX_I, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_S, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_M, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSResp_IS, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetXResp_IS, , Accumulator, 12880920000, 0, 40586, 40586, 40586, 1, 1
l1cache, stateEvent_GetXResp_IM, , Accumulator, 12880920000, 0, 5563, 5563, 5563, 1, 1
l1cache, stateEvent_GetXResp_SM, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_I, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_S, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IS, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IM, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_SM, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_SB, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IB, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_I, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_M, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IS, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IM, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_SB, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IB, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_I, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_S, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_IS, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_IM, , Accumulator, 12880920000, 0, 0, 0, 0, 0, 0
