ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 3259272, 0, 1000, 1000, 1000, 1, 1
core, write_reqs, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, split_write_reqs, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 3259272, 0, 941, 941, 941, 1, 1
core, cycles_no_issue, , Accumulator, 3259272, 0, 6874, 6874, 6874, 1, 1
core, total_bytes_read, , Accumulator, 3259272, 0, 8000, 64000, 1000, 8, 8
core, total_bytes_write, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 3259272, 0, 51792, 2737940, 1000, 4, 55
core, time, , Accumulator, 3259272, 0, 3259, 10621081, 1, 3259, 3259
core, cycles_hit_fence, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 3259272, 0, 59, 59, 59, 1, 1
core, cycles_max_reorder, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 3259272, 0, 7816, 7816, 7816, 1, 1
cache, prefetch_opportunities, , Accumulator, 3259272, 0, 250, 250, 250, 1, 1
cache, prefetches_issued, , Accumulator, 3259272, 0, 124, 124, 124, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 3259272, 0, 2, 2, 2, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 3259272, 0, 126, 126, 126, 1, 1
cache, Prefetch_requests, , Accumulator, 3259272, 0, 124, 124, 124, 1, 1
cache, Prefetch_drops, , Accumulator, 3259272, 0, 31, 31, 31, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 3259272, 0, 126, 126, 126, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 3259272, 0, 0, 0, 0, 0, 0
