ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 2575392, 0, 908, 908, 908, 1, 1
core, write_reqs, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 2575392, 0, 92, 92, 92, 1, 1
core, split_write_reqs, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 2575392, 0, 866, 866, 866, 1, 1
core, cycles_no_issue, , Accumulator, 2575392, 0, 5309, 5309, 5309, 1, 1
core, total_bytes_read, , Accumulator, 2575392, 0, 8000, 64000, 1000, 8, 8
core, total_bytes_write, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 2575392, 0, 41597, 2115063, 1092, 2, 55
core, time, , Accumulator, 2575392, 0, 2575, 6630625, 1, 2575, 2575
core, cycles_hit_fence, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 2575392, 0, 134, 134, 134, 1, 1
core, cycles_max_reorder, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 2575392, 0, 6176, 6176, 6176, 1, 1
cache, prefetch_opportunities, , Accumulator, 2575392, 0, 273, 273, 273, 1, 1
cache, prefetches_issued, , Accumulator, 2575392, 0, 132, 132, 132, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 2575392, 0, 1, 1, 1, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 2575392, 0, 141, 141, 141, 1, 1
cache, Prefetch_requests, , Accumulator, 2575392, 0, 132, 132, 132, 1, 1
cache, Prefetch_drops, , Accumulator, 2575392, 0, 45, 45, 45, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 2575392, 0, 141, 141, 141, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 2575392, 0, 0, 0, 0, 0, 0
