ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 20566857, 0, 7250, 7250, 7250, 1, 1
core, write_reqs, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 20566857, 0, 750, 750, 750, 1, 1
core, split_write_reqs, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 20566857, 0, 6779, 6779, 6779, 1, 1
core, cycles_no_issue, , Accumulator, 20566857, 0, 42541, 42541, 42541, 1, 1
core, total_bytes_read, , Accumulator, 20566857, 0, 64000, 512000, 8000, 8, 8
core, total_bytes_write, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 20566857, 0, 332517, 16949779, 8750, 2, 55
core, time, , Accumulator, 20566857, 0, 20566, 422960356, 1, 20566, 20566
core, cycles_hit_fence, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 20566857, 0, 1221, 1221, 1221, 1, 1
core, cycles_max_reorder, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 20566857, 0, 49321, 49321, 49321, 1, 1
cache, prefetch_opportunities, , Accumulator, 20566857, 0, 2187, 2187, 2187, 1, 1
cache, prefetches_issued, , Accumulator, 20566857, 0, 1072, 1072, 1072, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 20566857, 0, 31, 31, 31, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 20566857, 0, 1115, 1115, 1115, 1, 1
cache, Prefetch_requests, , Accumulator, 20566857, 0, 1072, 1072, 1072, 1, 1
cache, Prefetch_drops, , Accumulator, 20566857, 0, 465, 465, 465, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 20566857, 0, 1126, 1126, 1126, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSResp_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_IS, , Accumulator, 20566857, 0, 1125, 1125, 1125, 1, 1
cache, stateEvent_GetXResp_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_I, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_IB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_GetS, , Accumulator, 20566857, 0, 1126, 1126, 1126, 1, 1
cache, eventSent_GetX, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSX, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_PutM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_NACK, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLine, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineInv, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchResp, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchXResp, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_AckInv, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSResp, , Accumulator, 20566857, 0, 8750, 8750, 8750, 1, 1
cache, eventSent_GetXResp, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineResp, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_Put, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_Get, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_AckMove, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomReq, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomResp, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomAck, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, EventStalledForLockedCacheline, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_I, , Accumulator, 20566857, 0, 31, 31, 31, 1, 1
cache, evict_S, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_M, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_IS, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_IM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_SM, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, evict_SB, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetS_hit, , Accumulator, 20566857, 0, 681240, 82547738, 7855, 6, 131
cache, latency_GetS_miss, , Accumulator, 20566857, 0, 113705, 14446273, 895, 126, 130
cache, latency_GetX_hit, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetX_miss, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetX_upgrade, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_hit, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_miss, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_upgrade, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine_fail, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv_fail, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, GetSHit_Arrival, , Accumulator, 20566857, 0, 270, 270, 270, 1, 1
cache, GetXHit_Arrival, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, GetSXHit_Arrival, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, GetSHit_Blocked, , Accumulator, 20566857, 0, 7961, 7961, 7961, 1, 1
cache, GetXHit_Blocked, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, GetSXHit_Blocked, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
cache, GetSMiss_Arrival, , Accumulator, 20566857, 0, 1126, 1126, 1126, 1, 1
cache, GetXMiss_Arrival, , Accumulator, 20566857, 0, 0, 0, 0, 0, 0
